Sl No,Year,Date,Time,Type,Wind,Pressure
1,2009,14-Dec,5:30,D,55,1000
2,2009,14-Dec,2:30,D,55,1000
3,2009,13-Dec,14:30,D,55,1000
4,2009,13-Dec,5:30,D,55,1000
5,2009,11-Dec,17:30,D,55,1000
6,2009,12-Dec,11:30,D,55,1000
7,2010,12-Dec,17:30,D,45,1004
8,2010,12-Dec,23:30,D,45,1004
9,2011,12-Dec,5:30,D,35,1007
10,2011,12-Dec,23:30,D,45,1004
11,2011,13-Dec,14:30,D,55,1002
12,2011,14-Dec,23:30,D,55,1000
13,2011,19-Dec,8:30,D,40,1005
14,2012,6-Dec,11:30,D,55,1000
15,2012,6-Dec,14:30,D,60,998
16,2012,13-Dec,5:30,D,55,1000
17,2012,13-Dec,8:30,D,55,1000
18,2012,13-Dec,14:30,D,55,1000
19,2012,13-Dec,17:30,D,55,1000
20,2013,25-Dec,2:30,D,55,1000
21,2013,14-Dec,23:30,D,55,1000
22,2013,15-Dec,2:30,D,55,1000
23,2013,15-Dec,17:30,D,55,1000
24,2013,16-Dec,11:30,D,55,1000
25,2013,16-Dec,20:30,D,60,998
26,2013,23-Dec,17:30,D,55,1000
27,2015,1-Jan,8:30,D,60,998
28,2015,1-Jan,14:30,D,55,1000
29,2015,2-Jan,2:30,D,55,1000
30,2015,31-Dec,5:30,D,55,1001
31,2015,31-Dec,5:30,D,55,1001
32,2015,29-Dec,20:30,D,65,996
33,2016,12-Jan,23:30,D,65,996
34,2016,13-Jan,5:30,D,55,1000
35,2017,8-Jan,5:30,D,45,1003
36,2017,8-Jan,11:30,D,45,1003
37,2017,9-Jan,8:30,D,40,1004
38,2017,13-Jan,23:30,D,45,1004
39,2017,14-Jan,11:30,D,45,1004
40,2017,14-Jan,20:30,D,40,1005
41,2018,11-Jan,23:30,D,55,1004
42,2018,12-Jan,2:30,D,55,1004
43,2019,22-Jan,2:30,D,60,1002
44,2020,23-Jan,8:30,D,60,1004
45,2021,16-Jan,5:30,D,55,1002
46,2021,16-Jan,23:30,D,55,1003
47,2021,17-Jan,5:30,D,55,1000
48,2021,2-Feb,8:30,D,65,990
49,2021,30-Jan,8:30,D,70,994
50,2021,29-Jan,5:30,D,55,995
,,,,,,
51,2009,8-Dec,2:30,SS,110,978
52,2009,8-Dec,5:30,SS,120,974
53,2012,7-Dec,20:30,SS,100,981
54,2012,8-Dec,2:30,SS,130,970
55,2012,11-Dec,17:30,SS,120,974
56,2012,11-Dec,23:30,SS,110,978
57,2013,24-Dec,2:30,SS,125,972
58,2013,18-Dec,2:30,SS,105,979
59,2013,22-Dec,17:30,SS,120,974
60,2014,31-Dec,5:30,SS,120,974
61,2014,31-Dec,14:30,SS,100,981
62,2018,14-Jan,11:30,SS,100,988
63,2018,14-Jan,23:30,ss,110,984
64,2018,15-Jan,2:30,SS,120,979
65,2018,15-Jan,5:30,SS,130,975
66,2018,17-Jan,5:30,SS,130,976
67,2018,17-Jan,2:30,SS,120,981
68,2018,15-Jan,2:30,SS,120,979
69,2018,15-Jan,5:30,SS,130,975
70,2018,17-Jan,11:30,SS,120,981
71,2018,17-Jan,2:30,SS,120,981
72,2018,18-Jan,2:30,SS,110,982
73,2018,18-Jan,5:30,SS,100,989
74,2018,19-Jan,23:30,SS,100,980
75,2018,20-Jan,2:30,SS,100,979
76,2018,20-Jan,5:30,SS,100,979
77,2021,22-Jan,5:30,SS,120,987
78,,,,,,
79,2009,7-Dec,5:30,S,65,996
80,2009,11-Dec,5:30,S,85,989
81,2011,15-Dec,8:30,S,65,996
82,2011,15-Dec,23:30,S,85,989
83,2011,16-Dec,8:30,S,85,989
84,2011,Dc16,17:30,S,85,989
85,2011,16-Dec,23:30,S,85,989
86,2011,17-Dec,11:30,S,85,989
87,2011,18-Dec,8:30,S,75,993
88,2011,18-Dec,20:30,S,65,996
89,2012,7-Dec,11:30,S,85,989
90,2012,7-Dec,17:30,S,95,985
91,2012,12-Dec,11:30,S,85,989
92,2012,12-Dec,14:30,S,80,991
93,2012,Des12,23:30,S,75,993
94,2012,12-Dec,14:30,S,80,991
95,2013,24-Dec,23:30,S,65,996
96,2013,16-Dec,23:30,S,65,996
97,2013,17-Dec,20:30,S,65,996
98,2013,`Dec17,23:30,S,95,985
99,2013,23-Dec,2:30,S,95,983
100,2014,31-Dec,17:30,S,85,989
101,2015,31-Dec,5:30,S,65,996
102,2015,1-Jan,2:30,S,65,996
103,2018,Jam12,5:30,S,65,1002
104,2018,13-Jan,2:30,S,70,1001
105,2018,13-Jan,5:30,S,75,1000
106,2018,13-Jan,2:30,S,85,997
107,2018,14-Jan,2:30,S,95,992
108,2018,14-Jan,5:30,S,95,991
109,2018,14-Jan,8:30,S,95,989
110,2018,18-Jan,8:30,S,95,987
111,2018,18-Jan,2:30,S,95,985
112,2018,18-Jan,23:30,S,95,985
113,2018,19-Jan,2:30,S,95,985
114,2018,`Jan19,5:30,S,95,985
115,2018,20-Jan,2:30,S,95,981
116,2019,20-Jan,5:30,S,70,995
117,2019,20-Jan,5:30,S,70,993
118,2019,21-Jan,5:30,S,65,1000
119,2019,21-Jan,20:30,s,65,1001
120,2020,22-Jan,17:30,S,65,1000
121,2020,23-Jan,2:30,S,65,1004
122,2021,17-Jan,11:30,S,65,1000
123,2021,17-Jan,2:30,S,65,1000
124,2021,18-Jan,2:30,S,80,999
125,2021,18-Jan,2:30,S,85,998
126,2021,18-Jan,5:30,S,85,998
127,2021,19-Jan,2:30,S,90,997
128,2021,19-Jan,2:30,S,90,996
129,2021,20-Jan,2:30,S,80,996
130,2021,20-Jan,5:30,S,65,1000
131,2021,21-Jan,5:30,s,85,999
